Name,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Russell Westbrook,30.6,8.5,4.6,13.1,0.224,10.9,4.7,15.6,12.4
James Harden,27.4,11.5,3.6,15.0,0.245,8.7,1.5,10.1,9.0
Kawhi Leonard,27.6,8.9,4.7,13.6,0.264,6.4,1.5,7.9,6.2
LeBron James,27.0,9.8,3.0,12.9,0.221,6.8,1.6,8.4,7.3
Isaiah Thomas,26.5,10.9,1.6,12.5,0.234,8.7,-3.3,5.4,4.8
Stephen Curry,24.6,8.7,3.9,12.6,0.229,7.8,-0.4,7.3,6.2
John Wall,23.2,5.8,3.0,8.8,0.149,3.8,0.2,4.1,4.3
Giannis Antetokounmpo,26.1,7.9,4.5,12.4,0.21,4.1,3.5,7.6,6.9
Anthony Davis,27.5,5.9,5.1,11.0,0.195,1.4,2.3,3.7,3.9
Kevin Durant,27.6,8.0,4.0,12.0,0.278,5.4,2.6,8.0,5.2
DeMar DeRozan,24.0,6.7,2.4,9.0,0.166,2.4,-1.5,0.9,1.9
