,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Damian Lillard 2018,29.65,10.0,20.0,0.5,4.0,6.0,0.666666666667,0.6,3.0,3.0,1.0,5.0,5.0,1.0,27.0,0.633208255159,29.1,0.0,29.2,157.0,78.0
1,2,Damian Lillard 2018,31.3166666667,8.5,18.5,0.459459459459,2.0,4.5,0.444444444444,0.513513513514,3.5,3.5,1.0,6.0,6.0,1.0,22.5,0.561377245509,28.75,0.0,26.85,138.0,87.5
2,3,Damian Lillard 2018,32.3611111111,7.66666666667,17.3333333333,0.442307692308,2.33333333333,5.0,0.466666666667,0.509615384615,6.0,6.33333333333,0.947368421053,5.66666666667,5.33333333333,2.0,23.6666666667,0.588137839629,26.4,7.6,28.7666666667,129.666666667,95.3333333333
3,4,Damian Lillard 2018,33.1,6.5,17.0,0.382352941176,2.0,5.75,0.347826086957,0.441176470588,6.0,7.0,0.857142857143,5.5,5.75,1.75,21.0,0.522908366534,28.025,11.475,28.825,114.75,95.25
4,5,Damian Lillard 2018,34.1466666667,6.6,17.4,0.379310344828,2.4,6.4,0.375,0.448275862069,6.2,7.0,0.885714285714,4.8,5.8,1.4,21.8,0.5322265625,28.14,10.04,28.42,118.2,101.2
5,6,Damian Lillard 2018,34.4,6.66666666667,18.0,0.37037037037,2.5,6.66666666667,0.375,0.439814814815,6.5,7.33333333333,0.886363636364,5.16666666667,6.33333333333,1.33333333333,22.3333333333,0.526067839196,30.05,9.6,28.8333333333,118.0,102.166666667
6,7,Damian Lillard 2018,35.2857142857,7.42857142857,18.7142857143,0.396946564885,2.57142857143,6.85714285714,0.375,0.465648854962,6.85714285714,7.71428571429,0.888888888889,4.71428571429,5.71428571429,1.42857142857,24.2857142857,0.549237529077,27.7714285714,10.8,30.2857142857,116.714285714,102.857142857
7,8,Damian Lillard 2018,36.26875,8.0,19.75,0.405063291139,2.75,7.875,0.349206349206,0.474683544304,6.625,7.375,0.898305084746,5.375,6.0,1.5,25.375,0.551750380518,29.8125,11.275,30.8125,115.5,102.75
8,9,Damian Lillard 2018,36.5407407407,8.0,19.5555555556,0.409090909091,2.66666666667,7.66666666667,0.347826086957,0.477272727273,7.44444444444,8.11111111111,0.917808219178,5.44444444444,5.88888888889,1.33333333333,26.1111111111,0.564578128003,28.7888888889,10.8666666667,30.6666666667,118.111111111,104.333333333
9,10,Damian Lillard 2018,36.5933333333,8.2,19.4,0.422680412371,2.5,7.4,0.337837837838,0.487113402062,8.2,8.8,0.931818181818,5.4,6.6,1.2,27.1,0.582244757649,32.91,10.53,30.81,121.8,104.3
10,11,Damian Lillard 2018,36.4015151515,7.81818181818,19.0909090909,0.409523809524,2.27272727273,7.18181818182,0.316455696203,0.469047619048,7.81818181818,8.36363636364,0.934782608696,5.36363636364,6.54545454545,1.18181818182,25.7272727273,0.564915362504,32.4090909091,11.5727272727,30.7272727273,117.363636364,104.636363636
11,12,Damian Lillard 2018,36.3569444444,7.75,18.8333333333,0.411504424779,2.16666666667,7.0,0.309523809524,0.469026548673,7.5,8.08333333333,0.927835051546,5.66666666667,6.5,1.08333333333,25.1666666667,0.562006848295,31.8916666667,11.4333333333,30.2166666667,116.916666667,104.916666667
12,13,Damian Lillard 2018,36.1615384615,7.46153846154,18.4615384615,0.404166666667,2.15384615385,7.07692307692,0.304347826087,0.4625,7.30769230769,7.84615384615,0.93137254902,5.61538461538,6.53846153846,1.30769230769,24.3846153846,0.556374613873,31.8,12.0769230769,30.0538461538,115.461538462,103.230769231
13,14,Damian Lillard 2018,36.2476190476,7.57142857143,18.6428571429,0.406130268199,2.35714285714,7.28571428571,0.323529411765,0.469348659004,7.0,7.57142857143,0.924528301887,6.0,6.57142857143,1.21428571429,24.5,0.557469769861,31.9571428571,11.7928571429,30.0785714286,115.785714286,103.357142857
14,15,Damian Lillard 2018,36.2877777778,7.66666666667,19.0,0.40350877193,2.53333333333,7.73333333333,0.327586206897,0.470175438596,6.93333333333,7.46666666667,0.928571428571,5.66666666667,6.4,1.2,24.8,0.556419767859,31.7266666667,11.2466666667,30.36,116.0,103.133333333
15,16,Damian Lillard 2018,36.1416666667,7.6875,18.9375,0.405940594059,2.4375,7.6875,0.317073170732,0.470297029703,6.8125,7.375,0.923728813559,5.4375,6.375,1.1875,24.625,0.555054660205,31.73125,11.09375,30.51875,115.8125,102.9375
16,17,Damian Lillard 2018,36.0058823529,7.52941176471,18.7058823529,0.40251572327,2.35294117647,7.47058823529,0.314960629921,0.465408805031,7.0,7.52941176471,0.9296875,5.29411764706,6.23529411765,1.11764705882,24.4117647059,0.554338533875,31.1529411765,10.9882352941,30.3176470588,116.0,102.882352941
17,18,Damian Lillard 2018,36.0592592593,7.72222222222,19.1666666667,0.402898550725,2.55555555556,7.77777777778,0.328571428571,0.469565217391,6.72222222222,7.27777777778,0.923664122137,5.16666666667,6.0,1.11111111111,24.7222222222,0.552602821379,30.3388888889,10.9111111111,30.5722222222,114.944444444,102.777777778
18,19,Damian Lillard 2018,36.0850877193,7.84210526316,19.1578947368,0.409340659341,2.63157894737,7.68421052632,0.342465753425,0.478021978022,6.89473684211,7.47368421053,0.922535211268,5.10526315789,6.15789473684,1.10526315789,25.2105263158,0.561573813543,30.5263157895,10.9263157895,30.5315789474,116.263157895,103.894736842
19,20,Damian Lillard 2018,36.3166666667,7.9,19.05,0.41469816273,2.6,7.7,0.337662337662,0.482939632546,7.0,7.6,0.921052631579,5.15,6.15,1.05,25.4,0.567116191837,30.165,11.325,30.475,116.4,104.15
20,21,Damian Lillard 2018,36.3920634921,8.0,19.0952380952,0.418952618454,2.52380952381,7.61904761905,0.33125,0.485037406484,7.19047619048,7.7619047619,0.926380368098,4.95238095238,6.09523809524,1.04761904762,25.7142857143,0.571162633271,29.9666666667,11.3,30.6476190476,116.619047619,104.095238095
21,22,Damian Lillard 2018,36.5401515152,7.95454545455,18.9545454545,0.419664268585,2.5,7.59090909091,0.329341317365,0.485611510791,6.95454545455,7.54545454545,0.921686746988,5.04545454545,6.13636363636,1.0,25.3636363636,0.569341278263,30.0545454545,11.8045454545,30.3772727273,115.681818182,104.363636364
22,23,Damian Lillard 2018,36.6949275362,8.08695652174,19.2173913043,0.420814479638,2.5652173913,7.73913043478,0.331460674157,0.487556561086,6.78260869565,7.34782608696,0.923076923077,5.04347826087,6.21739130435,1.0,25.5217391304,0.568401890154,29.9782608696,11.452173913,30.2956521739,115.826086957,105.086956522
23,24,Damian Lillard 2018,36.9520833333,8.16666666667,19.375,0.421505376344,2.58333333333,7.79166666667,0.331550802139,0.488172043011,6.79166666667,7.33333333333,0.926136363636,5.16666666667,6.33333333333,0.958333333333,25.7083333333,0.568726495096,30.7458333333,11.5291666667,30.3666666667,115.75,105.5
24,25,Damian Lillard 2018,36.99,8.28,19.52,0.424180327869,2.84,8.12,0.349753694581,0.496926229508,6.68,7.2,0.927777777778,5.12,6.32,0.96,26.08,0.574753173484,30.496,11.74,30.544,116.12,106.44
25,26,Damian Lillard 2018,37.1801282051,8.42307692308,19.8461538462,0.424418604651,2.92307692308,8.30769230769,0.351851851852,0.498062015504,6.80769230769,7.34615384615,0.926701570681,5.07692307692,6.15384615385,1.0,26.5769230769,0.575794947004,29.7,11.2884615385,30.7076923077,116.653846154,106.923076923
26,27,Damian Lillard 2018,37.1703703704,8.2962962963,19.6296296296,0.422641509434,2.85185185185,8.22222222222,0.346846846847,0.495283018868,6.81481481481,7.33333333333,0.929292929293,5.0,6.14814814815,0.962962962963,26.2592592593,0.574442571947,29.5777777778,11.0740740741,30.5037037037,116.740740741,107.296296296
27,28,Damian Lillard 2018,37.1214285714,8.25,19.5,0.423076923077,2.85714285714,8.14285714286,0.350877192982,0.496336996337,6.71428571429,7.21428571429,0.930693069307,4.89285714286,6.07142857143,1.0,26.0714285714,0.574911794355,29.2142857143,11.3357142857,30.3928571429,116.214285714,106.75
28,29,Damian Lillard 2018,37.1505747126,8.20689655172,19.4827586207,0.421238938053,2.86206896552,8.1724137931,0.350210970464,0.494690265487,6.51724137931,7.03448275862,0.926470588235,4.96551724138,6.24137931034,1.0,25.7931034483,0.571201661678,29.9103448276,11.6379310345,30.3586206897,115.344827586,106.275862069
29,30,Damian Lillard 2018,37.1566666667,8.16666666667,19.4333333333,0.420240137221,2.83333333333,8.13333333333,0.348360655738,0.493138936535,6.33333333333,6.83333333333,0.926829268293,5.06666666667,6.46666666667,0.966666666667,25.5,0.568181818182,30.42,12.0666666667,30.36,114.733333333,106.566666667
30,31,Damian Lillard 2018,37.0693548387,8.09677419355,19.3548387097,0.418333333333,2.8064516129,8.06451612903,0.348,0.490833333333,6.22580645161,6.70967741935,0.927884615385,5.03225806452,6.35483870968,1.0,25.2258064516,0.565421101342,29.8935483871,11.9935483871,30.2096774194,114.0,106.290322581
31,32,Damian Lillard 2018,37.0693548387,8.09677419355,19.3548387097,0.418333333333,2.8064516129,8.06451612903,0.348,0.490833333333,6.22580645161,6.70967741935,0.927884615385,5.03225806452,6.35483870968,1.0,25.2258064516,0.565421101342,29.8935483871,11.9935483871,30.2096774194,114.0,106.290322581
32,33,Damian Lillard 2018,37.0693548387,8.09677419355,19.3548387097,0.418333333333,2.8064516129,8.06451612903,0.348,0.490833333333,6.22580645161,6.70967741935,0.927884615385,5.03225806452,6.35483870968,1.0,25.2258064516,0.565421101342,29.8935483871,11.9935483871,30.2096774194,114.0,106.290322581
33,34,Damian Lillard 2018,37.0693548387,8.09677419355,19.3548387097,0.418333333333,2.8064516129,8.06451612903,0.348,0.490833333333,6.22580645161,6.70967741935,0.927884615385,5.03225806452,6.35483870968,1.0,25.2258064516,0.565421101342,29.8935483871,11.9935483871,30.2096774194,114.0,106.290322581
34,35,Damian Lillard 2018,37.0693548387,8.09677419355,19.3548387097,0.418333333333,2.8064516129,8.06451612903,0.348,0.490833333333,6.22580645161,6.70967741935,0.927884615385,5.03225806452,6.35483870968,1.0,25.2258064516,0.565421101342,29.8935483871,11.9935483871,30.2096774194,114.0,106.290322581
35,36,Damian Lillard 2018,37.0693548387,8.09677419355,19.3548387097,0.418333333333,2.8064516129,8.06451612903,0.348,0.490833333333,6.22580645161,6.70967741935,0.927884615385,5.03225806452,6.35483870968,1.0,25.2258064516,0.565421101342,29.8935483871,11.9935483871,30.2096774194,114.0,106.290322581
36,37,Damian Lillard 2018,36.9369791667,8.09375,19.21875,0.421138211382,2.90625,8.09375,0.359073359073,0.49674796748,6.125,6.625,0.924528301887,4.875,6.34375,1.0,25.21875,0.569689953126,29.8625,12.540625,30.221875,113.8125,107.09375
37,38,Damian Lillard 2018,36.6944444444,8.0303030303,19.0909090909,0.420634920635,2.87878787879,8.0303030303,0.358490566038,0.496031746032,5.93939393939,6.42424242424,0.924528301887,4.84848484848,6.33333333333,1.0303030303,24.8787878788,0.56755336799,29.8696969697,12.8,30.2515151515,113.0,106.606060606
38,39,Damian Lillard 2018,36.6944444444,8.0303030303,19.0909090909,0.420634920635,2.87878787879,8.0303030303,0.358490566038,0.496031746032,5.93939393939,6.42424242424,0.924528301887,4.84848484848,6.33333333333,1.0303030303,24.8787878788,0.56755336799,29.8696969697,12.8,30.2515151515,113.0,106.606060606
39,40,Damian Lillard 2018,36.6944444444,8.0303030303,19.0909090909,0.420634920635,2.87878787879,8.0303030303,0.358490566038,0.496031746032,5.93939393939,6.42424242424,0.924528301887,4.84848484848,6.33333333333,1.0303030303,24.8787878788,0.56755336799,29.8696969697,12.8,30.2515151515,113.0,106.606060606
40,41,Damian Lillard 2018,36.5514705882,8.05882352941,19.0,0.424148606811,2.82352941176,7.97058823529,0.354243542435,0.498452012384,6.05882352941,6.58823529412,0.919642857143,4.85294117647,6.38235294118,1.05882352941,25.0,0.570806919523,30.3323529412,12.6764705882,30.3088235294,113.705882353,106.852941176
41,42,Damian Lillard 2018,36.5942857143,8.08571428571,19.0857142857,0.423652694611,2.8,8.05714285714,0.347517730496,0.497005988024,5.97142857143,6.51428571429,0.916666666667,4.77142857143,6.42857142857,1.11428571429,24.9428571429,0.568122657226,30.3228571429,12.5371428571,30.2285714286,113.628571429,107.257142857
42,43,Damian Lillard 2018,36.5462962963,8.05555555556,18.9444444444,0.425219941349,2.77777777778,8.0,0.347222222222,0.49853372434,5.94444444444,6.5,0.91452991453,4.80555555556,6.47222222222,1.11111111111,24.8333333333,0.569455768447,30.5222222222,12.925,30.225,113.416666667,107.75
43,44,Damian Lillard 2018,36.531981982,8.13513513514,18.9459459459,0.429386590585,2.81081081081,8.0,0.351351351351,0.503566333809,5.91891891892,6.45945945946,0.916317991632,4.81081081081,6.48648648649,1.10810810811,25.0,0.573707452615,30.5027027027,12.6972972973,30.172972973,114.513513514,108.054054054
44,45,Damian Lillard 2018,36.6206140351,8.13157894737,19.0,0.427977839335,2.78947368421,8.0,0.348684210526,0.501385041551,5.97368421053,6.5,0.919028340081,4.81578947368,6.52631578947,1.07894736842,25.0263157895,0.572422593538,30.6263157895,12.65,30.1552631579,114.5,107.789473684
45,46,Damian Lillard 2018,36.655982906,8.17948717949,18.8974358974,0.432835820896,2.89743589744,8.02564102564,0.361022364217,0.509497964722,5.92307692308,6.4358974359,0.9203187251,4.82051282051,6.58974358974,1.05128205128,25.1794871795,0.579392051355,30.741025641,12.8205128205,30.0256410256,115.666666667,108.128205128
46,47,Damian Lillard 2018,36.6925,8.225,18.875,0.435761589404,2.925,8.025,0.364485981308,0.513245033113,5.8,6.325,0.916996047431,4.75,6.625,1.025,25.175,0.581194016068,31.0475,12.8425,29.915,115.85,108.425
47,48,Damian Lillard 2018,36.5833333333,8.24390243902,18.8292682927,0.437823834197,3.0,8.09756097561,0.370481927711,0.517487046632,5.82926829268,6.34146341463,0.919230769231,4.73170731707,6.60975609756,1.0,25.3170731707,0.585514440433,30.9804878049,12.5292682927,29.9073170732,117.097560976,108.829268293
48,49,Damian Lillard 2018,36.5646825397,8.2619047619,18.8095238095,0.439240506329,3.0,8.09523809524,0.370588235294,0.518987341772,5.88095238095,6.45238095238,0.911439114391,4.69047619048,6.52380952381,0.97619047619,25.4047619048,0.586753772381,30.5976190476,12.5857142857,30.0261904762,117.023809524,108.80952381
