,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Blake Griffin 2018,33.8666666667,12.0,23.0,0.521739130435,3.0,6.0,0.5,0.586956521739,2.0,2.0,1.0,12.0,3.0,2.0,29.0,0.607202680067,17.0,14.3,31.2,110.0,83.0
1,2,Blake Griffin 2018,30.6916666667,9.5,18.0,0.527777777778,3.0,5.5,0.545454545455,0.611111111111,7.0,8.0,0.875,10.0,3.5,1.5,29.0,0.673791821561,18.25,13.9,32.65,125.5,84.0
2,3,Blake Griffin 2018,32.7,9.0,17.6666666667,0.509433962264,2.66666666667,6.0,0.444444444444,0.584905660377,6.0,7.33333333333,0.818181818182,9.66666666667,4.33333333333,1.0,26.6666666667,0.638162093172,21.3333333333,12.3333333333,30.7333333333,122.666666667,87.3333333333
3,4,Blake Griffin 2018,34.6166666667,9.25,17.25,0.536231884058,2.5,5.75,0.434782608696,0.608695652174,5.25,7.5,0.7,9.25,4.5,1.0,26.25,0.638686131387,22.175,12.575,29.5,123.5,94.75
4,5,Blake Griffin 2018,35.4566666667,8.4,17.4,0.48275862069,2.4,5.8,0.413793103448,0.551724137931,5.6,8.0,0.7,9.6,4.4,0.8,24.8,0.592734225621,22.28,11.7,29.0,118.2,96.2
5,6,Blake Griffin 2018,34.4666666667,7.66666666667,16.1666666667,0.474226804124,2.33333333333,5.5,0.424242424242,0.546391752577,5.66666666667,8.0,0.708333333333,8.5,4.33333333333,0.833333333333,23.3333333333,0.592617676939,21.9,13.55,28.4,115.833333333,103.666666667
6,7,Blake Griffin 2018,33.5761904762,7.57142857143,15.5714285714,0.48623853211,2.28571428571,5.28571428571,0.432432432432,0.559633027523,5.42857142857,7.42857142857,0.730769230769,8.14285714286,4.71428571429,0.857142857143,22.8571428571,0.60661207158,24.6142857143,13.4285714286,27.9285714286,119.285714286,103.0
7,8,Blake Griffin 2018,33.9583333333,7.875,15.75,0.5,2.125,5.0,0.425,0.56746031746,5.875,7.875,0.746031746032,8.5,4.375,1.0,23.75,0.618006765548,22.85,14.075,28.45,119.25,104.5
8,9,Blake Griffin 2018,34.287037037,7.88888888889,16.0,0.493055555556,2.11111111111,5.0,0.422222222222,0.559027777778,5.77777777778,7.77777777778,0.742857142857,8.44444444444,4.33333333333,1.11111111111,23.6666666667,0.609267734554,22.7555555556,13.4777777778,28.1777777778,119.444444444,105.0
9,10,Blake Griffin 2018,34.3033333333,7.5,15.7,0.477707006369,2.1,5.2,0.403846153846,0.544585987261,5.7,7.6,0.75,8.5,4.5,1.0,22.8,0.59861373661,22.78,12.73,27.54,119.0,107.3
10,11,Blake Griffin 2018,34.7954545455,7.27272727273,16.0,0.454545454545,2.0,5.36363636364,0.372881355932,0.517045454545,5.72727272727,7.45454545455,0.768292682927,8.27272727273,4.54545454545,1.0,22.2727272727,0.577612221803,22.3727272727,12.3454545455,27.2909090909,117.181818182,108.818181818
11,12,Blake Griffin 2018,35.0861111111,7.41666666667,16.9166666667,0.43842364532,2.0,5.58333333333,0.358208955224,0.497536945813,5.75,7.41666666667,0.775280898876,7.91666666667,4.66666666667,1.0,22.5833333333,0.559547406673,23.15,12.075,28.1916666667,115.083333333,109.166666667
12,13,Blake Griffin 2018,35.1615384615,7.61538461538,17.5384615385,0.434210526316,2.07692307692,5.76923076923,0.36,0.493421052632,5.76923076923,7.46153846154,0.773195876289,7.76923076923,4.69230769231,0.923076923077,23.0769230769,0.554159893601,23.6230769231,12.2923076923,29.1153846154,113.846153846,109.461538462
13,14,Blake Griffin 2018,35.6523809524,7.64285714286,18.0714285714,0.422924901186,2.07142857143,5.92857142857,0.349397590361,0.48023715415,5.71428571429,7.35714285714,0.776699029126,8.07142857143,4.71428571429,1.0,23.0714285714,0.541364977206,23.1928571429,11.6642857143,29.1142857143,112.5,109.142857143
14,15,Blake Griffin 2018,35.6355555556,7.53333333333,18.0,0.418518518519,2.06666666667,5.86666666667,0.352272727273,0.475925925926,5.66666666667,7.33333333333,0.772727272727,8.06666666667,4.66666666667,0.933333333333,22.8,0.537060301508,23.1,11.7533333333,29.1533333333,111.066666667,109.0
15,16,Blake Griffin 2018,35.5010416667,7.4375,18.0,0.413194444444,2.0625,5.9375,0.347368421053,0.470486111111,5.75,7.375,0.779661016949,7.8125,4.6875,1.0,22.6875,0.533949164509,23.75,12.0,29.40625,110.0,109.1875
16,17,Blake Griffin 2018,35.6029411765,7.52941176471,18.0588235294,0.416938110749,2.11764705882,6.05882352941,0.349514563107,0.475570032573,5.70588235294,7.41176470588,0.769841269841,7.94117647059,5.0,1.0,22.8823529412,0.536640547401,24.6941176471,12.5294117647,29.8529411765,110.058823529,109.235294118
17,18,Blake Griffin 2018,35.7601851852,7.83333333333,18.4444444444,0.424698795181,2.11111111111,6.11111111111,0.345454545455,0.481927710843,5.66666666667,7.27777777778,0.778625954198,7.72222222222,5.0,1.0,23.4444444444,0.541525510728,24.9166666667,12.2111111111,30.1888888889,110.666666667,109.111111111
18,19,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
19,20,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
20,21,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
21,22,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
22,23,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
23,24,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
24,25,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
25,26,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
26,27,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
27,28,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
28,29,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
29,30,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
30,31,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
31,32,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
32,33,Blake Griffin 2018,35.7850877193,7.89473684211,18.5789473684,0.42492917847,2.15789473684,6.10526315789,0.353448275862,0.483002832861,5.63157894737,7.21052631579,0.78102189781,7.89473684211,5.05263157895,0.947368421053,23.5789473684,0.542005420054,25.0421052632,12.1631578947,30.2105263158,110.789473684,109.263157895
33,34,Blake Griffin 2018,35.6041666667,7.8,18.4,0.423913043478,2.1,5.95,0.352941176471,0.48097826087,5.9,7.45,0.791946308725,7.8,5.1,0.95,23.6,0.54433065781,25.145,12.38,30.29,111.55,109.4
34,35,Blake Griffin 2018,35.4857142857,7.85714285714,18.3333333333,0.428571428571,2.09523809524,5.95238095238,0.352,0.485714285714,5.85714285714,7.38095238095,0.793548387097,7.7619047619,5.14285714286,0.952380952381,23.6666666667,0.548323036187,25.7523809524,12.5952380952,30.419047619,111.523809524,108.80952381
35,36,Blake Griffin 2018,35.5060606061,7.90909090909,18.3181818182,0.4317617866,2.04545454545,5.86363636364,0.348837209302,0.487593052109,5.68181818182,7.18181818182,0.791139240506,7.68181818182,5.27272727273,0.909090909091,23.5454545455,0.548124947092,26.3818181818,12.45,30.2863636364,111.590909091,108.909090909
36,37,Blake Griffin 2018,35.3934782609,7.91304347826,18.347826087,0.431279620853,2.04347826087,5.86956521739,0.348148148148,0.486966824645,5.69565217391,7.21739130435,0.789156626506,7.73913043478,5.34782608696,0.869565217391,23.5652173913,0.547430510666,26.5652173913,12.0956521739,30.2130434783,112.173913043,109.695652174
37,38,Blake Griffin 2018,34.3277777778,7.625,17.6666666667,0.431603773585,1.95833333333,5.66666666667,0.345588235294,0.487028301887,5.58333333333,7.08333333333,0.788235294118,7.5,5.16666666667,0.833333333333,22.7916666667,0.5483159583,26.0541666667,13.0375,29.9125,111.333333333,109.75
38,39,Blake Griffin 2018,34.3277777778,7.625,17.6666666667,0.431603773585,1.95833333333,5.66666666667,0.345588235294,0.487028301887,5.58333333333,7.08333333333,0.788235294118,7.5,5.16666666667,0.833333333333,22.7916666667,0.5483159583,26.0541666667,13.0375,29.9125,111.333333333,109.75
39,40,Blake Griffin 2018,34.3277777778,7.625,17.6666666667,0.431603773585,1.95833333333,5.66666666667,0.345588235294,0.487028301887,5.58333333333,7.08333333333,0.788235294118,7.5,5.16666666667,0.833333333333,22.7916666667,0.5483159583,26.0541666667,13.0375,29.9125,111.333333333,109.75
40,41,Blake Griffin 2018,34.27,7.52,17.52,0.429223744292,1.96,5.72,0.342657342657,0.485159817352,5.6,7.04,0.795454545455,7.68,5.2,0.84,22.6,0.5480754307,25.992,13.292,29.772,111.28,109.84
41,42,Blake Griffin 2018,34.0538461538,7.34615384615,17.1538461538,0.428251121076,1.92307692308,5.65384615385,0.340136054422,0.484304932735,5.53846153846,6.92307692308,0.8,7.53846153846,5.34615384615,0.807692307692,22.1538461538,0.548362528561,26.4076923077,14.0846153846,29.5038461538,111.0,109.884615385
42,43,Blake Griffin 2018,34.074691358,7.48148148148,17.3333333333,0.431623931624,1.85185185185,5.59259259259,0.331125827815,0.485042735043,5.59259259259,6.96296296296,0.803191489362,7.62962962963,5.37037037037,0.814814814815,22.4074074074,0.549280941313,26.5,14.1703703704,29.8925925926,110.814814815,109.62962963
43,44,Blake Griffin 2018,34.1601190476,7.53571428571,17.3928571429,0.433264887064,1.82142857143,5.5,0.331168831169,0.485626283368,5.42857142857,6.85714285714,0.791666666667,7.78571428571,5.32142857143,0.821428571429,22.3214285714,0.546825785679,26.2214285714,14.3571428571,29.8285714286,110.214285714,109.357142857
44,45,Blake Griffin 2018,34.2810344828,7.55172413793,17.3103448276,0.43625498008,1.86206896552,5.55172413793,0.335403726708,0.490039840637,5.44827586207,6.89655172414,0.79,7.79310344828,5.24137931034,0.827586206897,22.4137931034,0.550847457627,25.8275862069,14.3413793103,29.6379310345,110.517241379,109.827586207
45,46,Blake Griffin 2018,34.3616666667,7.73333333333,17.4333333333,0.443594646272,1.86666666667,5.63333333333,0.331360946746,0.497131931166,5.4,6.9,0.782608695652,7.9,5.46666666667,0.833333333333,22.7333333333,0.55530224075,26.71,14.3366666667,29.7566666667,111.066666667,110.1
46,47,Blake Griffin 2018,34.3483870968,7.74193548387,17.5483870968,0.441176470588,1.83870967742,5.67741935484,0.323863636364,0.493566176471,5.41935483871,6.90322580645,0.785046728972,7.8064516129,5.38709677419,0.870967741935,22.7419354839,0.552369311771,26.4258064516,14.1225806452,29.8290322581,110.516129032,110.064516129
47,48,Blake Griffin 2018,34.4192708333,7.65625,17.375,0.440647482014,1.875,5.65625,0.331491712707,0.494604316547,5.28125,6.75,0.782407407407,7.8125,5.375,0.90625,22.46875,0.552193413615,26.23125,14.1,29.490625,110.21875,109.84375
