Name,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Stephen Curry,13.8,4.1,17.9,0.318,12.4,0.1,12.5,9.8
Kawhi Leonard,8.3,5.5,13.7,0.277,5.5,2.8,8.3,6.2
LeBron James,9.6,4.0,13.6,0.242,6.9,2.3,9.1,7.6
Russell Westbrook,10.0,4.0,14.0,0.245,7.6,2.4,10.0,8.3
Kevin Durant,11.0,3.5,14.5,0.27,7.0,0.9,7.9,6.4
Chris Paul,9.2,3.5,12.7,0.253,7.3,0.5,7.8,6.0
Draymond Green,6.0,5.1,11.1,0.19,2.0,3.9,5.8,5.5
Damian Lillard,7.7,1.4,9.2,0.165,5.9,-2.2,3.7,3.8
James Harden,10.7,2.6,13.3,0.204,7.1,-0.4,6.7,6.9
Kyle Lowry,8.0,3.7,11.6,0.196,6.2,0.6,6.8,6.3
